ID,season,population,#GDL,type,long,lat
A1,0,1,CM,0,7.53,47.62
A2,1,1,CM,1,7.973047,44.892462
A3,0,1,CM,2,-8.674252,15.742244
A4,0,1,CM,3,-6.256468,11.823337
A5,0,1,CR,0,7.53,47.62
A6,1,1,CR,1,6.301375,44.013956
A7,1,1,CR,1,7.440923,46.353292
A8,0,1,CR,2,-9.380244,11.98343
A9,0,1,CR,3,-9.888649,7.53422
A10,0,1,FH,0,7.53,47.62
A11,1,1,FH,1,1.767914,45.269116
A12,1,1,FH,1,-6.339295,24.65902
A13,0,1,FH,2,-4.894632,14.108768
A14,0,1,FH,3,-2.587423,6.748465
A15,0,1,HY,0,7.53,47.62
A16,1,1,HY,1,-8.772527,35.922697
A17,1,1,HY,1,-12.287634,6.924426
A18,0,1,HY,2,-1.404886,10.000484
A19,0,1,HY,3,-1.911011,10.665369
A20,2,1,HY,4,-9.218002,19.668824
A21,0,1,IA,0,7.53,47.62
A22,1,1,IA,1,3.575942,32.309693
A23,1,1,IA,1,-11.506191,23.45123
A24,0,1,IA,2,-12.250202,12.182182
A25,0,1,IA,3,-9.671431,8.391073
A26,2,1,IA,4,-3.040748,37.686387
A27,2,1,IA,4,5.437256,46.085574
A28,0,1,JQ,0,7.53,47.62
A29,1,1,JQ,1,-6.032179,44.203038
A30,1,1,JQ,1,-10.811296,31.762042
A31,0,1,JQ,2,-9.200823,13.779805
A32,0,1,JQ,3,-6.154967,5.86503
A33,0,1,JU,0,7.53,47.62
A34,1,1,JU,1,-7.142177,41.821941
A35,1,1,JU,1,-6.882234,36.228028
A36,0,1,JU,2,-9.329298,12.746759
A37,0,1,JU,3,-3.16262,7.171465
A38,2,1,JU,4,-5.04765,28.350857
A39,2,1,JU,4,-3.9473,40.003572
A40,2,1,JU,4,-1.046572,37.796657
A41,0,1,KK,0,7.53,47.62
A42,2,1,KK,4,4.937921,34.457958
A43,2,1,KK,4,8.715172,40.376815
A44,0,1,KR,0,7.53,47.62
A45,1,1,KR,1,7.116577,36.650206
A46,1,1,KR,1,-6.000473,40.814513
A47,0,1,KR,2,-8.290476,12.978767
A48,0,1,KR,3,-8.227163,10.029718
A49,0,1,KW,0,7.53,47.62
A50,1,1,KW,1,7.75322,44.225131
A51,1,1,KW,1,9.65485,43.286232
A52,1,1,KW,1,4.531954,40.08097
A53,0,1,KW,2,-11.006918,13.723968
A54,0,1,KW,3,-6.635364,6.471036
A55,0,1,LL,0,7.53,47.62
A56,1,1,LL,1,2.927757,45.031232
