Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2015-04-26 20:27:24	9	2015-04-27 02:52:24	9	Midnight	4.468	61.285	-6.00
1	2015-04-27 02:52:24	9	2015-04-27 19:50:24	9	Midday	9.074	58.420	-6.00
2	2015-04-27 19:50:24	9	2015-04-28 03:52:24	9	Midnight	1.554	52.165	-6.00
3	2015-04-28 03:52:24	9	2015-04-28 20:00:24	9	Midday	0.285	53.114	-6.00
4	2015-04-28 20:00:24	9	2015-04-29 03:52:24	9	Midnight	0.267	52.853	-6.00
5	2015-04-29 03:52:24	9	2015-04-29 19:58:24	9	Midday	0.499	52.397	-6.00
6	2015-04-29 19:58:24	9	2015-04-30 03:47:24	9	Midnight	1.107	52.717	-6.00
7	2015-04-30 03:47:24	9	2015-04-30 20:05:24	9	Midday	0.216	53.269	-6.00
8	2015-04-30 20:05:24	9	2015-05-01 03:47:24	9	Midnight	0.200	53.024	-6.00
9	2015-05-01 03:47:24	9	2015-05-01 20:10:24	9	Midday	-0.441	53.343	-6.00
10	2015-05-01 20:10:24	9	2015-05-02 03:42:24	9	Midnight	0.169	53.625	-6.00
11	2015-05-02 03:42:24	9	2015-05-02 19:56:24	9	Midday	1.905	51.917	-6.00
12	2015-05-02 19:56:24	9	2015-05-03 03:47:24	9	Midnight	1.266	51.108	-6.00
13	2015-05-03 03:47:24	9	2015-05-03 20:03:24	9	Midday	0.378	51.696	-6.00
14	2015-05-03 20:03:24	9	2015-05-04 03:42:24	9	Midnight	0.991	52.017	-6.00
15	2015-05-04 03:42:24	9	2015-05-04 19:58:24	9	Midday	1.604	51.264	-6.00
16	2015-05-04 19:58:24	9	2015-05-05 03:55:24	9	Midnight	-0.033	49.513	-6.00
17	2015-05-05 03:55:24	9	2015-05-05 20:13:24	9	Midday	-1.919	51.059	-6.00
18	2015-05-05 20:13:24	9	2015-05-06 03:32:24	9	Midnight	0.946	53.226	-6.00
19	2015-05-06 03:32:24	9	2015-05-06 20:13:24	9	Midday	0.937	53.034	-6.00
20	2015-05-06 20:13:24	9	2015-05-07 03:37:24	9	Midnight	0.302	52.338	-6.00
21	2015-05-07 03:37:24	9	2015-05-07 20:18:24	9	Midday	-0.331	52.640	-6.00
22	2015-05-07 20:18:24	9	2015-05-08 03:37:24	9	Midnight	-0.339	52.440	-6.00
23	2015-05-08 03:37:24	9	2015-05-08 20:01:24	9	Midday	1.779	50.512	-6.00
24	2015-05-08 20:01:24	9	2015-05-09 03:37:24	9	Midnight	1.772	50.313	-6.00
25	2015-05-09 03:37:24	9	2015-05-09 20:23:24	9	Midday	-0.984	52.360	-6.00
26	2015-05-09 20:23:24	9	2015-05-10 03:30:24	9	Midnight	-0.115	52.825	-6.00
27	2015-05-10 03:30:24	9	2015-05-10 20:16:24	9	Midday	0.755	51.997	-6.00
