Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
0	2019-11-04 19:33:16	9	2019-11-05 18:45:16	9	Midnight	-111.433	78.331	-4.00
1	2019-11-05 18:45:16	9	2019-11-05 23:31:16	9	Midday	-141.179	75.634	-4.00
2	2019-11-05 23:31:16	9	2019-11-06 15:35:16	9	Midnight	-117.425	67.827	-4.00
3	2019-11-06 15:35:16	9	2019-11-07 10:05:16	9	Midday	163.333	-63.786	-4.00
4	2019-11-07 10:05:16	9	2019-11-07 16:06:16	9	Midnight	159.464	-62.051	-4.00
5	2019-11-07 16:06:16	9	2019-11-08 09:29:16	9	Midday	163.971	-59.663	-4.00
6	2019-11-08 09:29:16	9	2019-11-09 08:55:16	9	Midnight	37.861	77.294	-4.00
7	2019-11-11 12:12:16	9	2019-11-11 17:11:16	9	Midday	-44.450	73.336	-4.00
8	2019-11-11 17:11:16	9	2019-11-12 11:23:16	9	Midnight	-38.311	71.713	-4.00
9	2019-11-14 18:34:16	9	2019-11-15 07:33:16	9	Midnight	-19.832	33.043	-4.00
10	2019-11-18 07:50:16	9	2019-11-18 17:34:16	9	Midday	-14.294	49.339	-4.00
11	2019-11-18 17:34:16	9	2019-11-19 09:37:16	9	Midnight	-27.640	62.106	-4.00
12	2019-11-19 09:37:16	9	2019-11-19 17:59:16	9	Midday	-30.737	59.686	-4.00
13	2019-11-19 17:59:16	9	2019-11-20 09:32:16	9	Midnight	-30.084	58.976	-4.00
14	2019-11-20 09:32:16	9	2019-11-20 18:08:16	9	Midday	-31.179	57.866	-4.00
15	2019-11-20 18:08:16	9	2019-11-21 10:20:16	9	Midnight	-37.148	62.107	-4.00
16	2019-11-21 10:20:16	9	2019-11-21 22:24:16	9	Midday	-69.111	10.463	-4.00
17	2019-11-21 22:24:16	9	2019-11-22 06:50:16	9	Midnight	-42.833	-43.630	-4.00
18	2019-11-22 06:50:16	9	2019-11-22 18:44:16	9	Midday	-15.306	13.777	-4.00
19	2019-11-22 18:44:16	9	2019-11-23 07:50:16	9	Midnight	-22.770	32.054	-4.00
20	2019-11-23 07:50:16	9	2019-11-23 21:04:16	9	Midday	-40.233	-12.775	-4.00
21	2019-11-23 21:04:16	9	2019-11-24 09:50:16	9	Midnight	-55.194	26.090	-4.00
22	2019-11-24 09:50:16	9	2019-11-24 17:59:16	9	Midday	-32.038	59.177	-4.00
23	2020-01-06 08:12:16	9	2020-01-06 20:14:16	9	Midday	-31.904	9.961	-4.00
24	2020-01-06 20:14:16	9	2020-01-07 07:13:16	9	Midnight	-24.476	-7.843	-4.00
25	2020-01-07 07:13:16	9	2020-01-07 16:48:16	9	Midday	1.321	45.473	-4.00
26	2020-01-07 16:48:16	9	2020-01-08 08:40:16	9	Midnight	-9.497	56.513	-4.00
27	2020-01-08 08:40:16	9	2020-01-08 15:06:16	9	Midday	3.302	63.945	-4.00
28	2020-01-08 15:06:16	9	2020-01-09 08:50:16	9	Midnight	2.105	64.524	-4.00
29	2020-01-09 08:50:16	9	2020-01-09 17:44:16	9	Midday	-17.586	51.806	-4.00
30	2020-01-09 17:44:16	9	2020-01-10 08:20:16	9	Midnight	-13.786	47.687	-4.00
31	2020-01-10 08:20:16	9	2020-01-10 17:24:16	9	Midday	-11.235	50.727	-4.00
32	2020-01-10 17:24:16	9	2020-01-11 08:30:16	9	Midnight	-12.434	52.098	-4.00
33	2020-01-11 08:30:16	9	2020-01-11 15:41:16	9	Midday	0.487	61.851	-4.00
