Ring No,Tag_no,Date tagged,Year_tagged,Year_retrieved,Ringer,Site
X461460,061,24/05/2012,2012,2013,CAH,Methwold Hythe
X461466,062,05/06/2012,2012,2013,CAH,Methwold Hythe
X461453,069,06/05/2012,2012,2013,CAH/CMH,Methwold Hythe
X461448,074,06/05/2012,2012,2013,CAH/CMH,Methwold Hythe
L245093,075,11/05/2012,2012,2013,JB/CMH,Orlestone Forest
Y619659,082,19/05/2012,2012,2013,JB,Orlestone Forest
V822436,083,12/05/2012,2012,2013,CMH,Grafham Water
TA78514,091,07/05/2012,2012,2013,CAH/CMH,Methwold Hythe
X461451,097,04/05/2012,2012,2013,CMH,Methwold Hythe
Y619609,098,11/05/2012,2012,2013,JB/CMH,Orlestone Forest
V822468,115,12/05/2012,2012,2013,CMH,Grafham Water
L244657,117,11/05/2012,2012,2013,JB/CMH,Orlestone Forest
Y619601,119,11/05/2012,2012,2013,JB/CMH,Orlestone Forest
X461451,BE482,06/05/2017,2017,2018,GDC,Methwold Hythe
Z477414,BE491,09/05/2017,2017,2018,GDC,Alton Water
D429747,BE497,24/04/2017,2017,2019,GDC,Methwold Hythe
NY53817,BE506,09/05/2017,2017,2018,JB,Orlestone Forest
NY53807,BE509,08/05/2017,2017,2019,JB,Orlestone Forest
TS96362,BE521,29/04/2017,2017,2018,GDC,Methwold Hythe
Z477389,Z408,05/05/2016,2016,2017,GDC,Alton Water
X461487,S410,27/04/2015,2015,2017,GDC,Methwold Hythe
Z477414,Z411,11/05/2016,2016,2017,GDC,Alton Water
L245093,S412,07/05/2015,2015,2016,CH,Orlestone Forest
X461488,S413,28/04/2015,2015,2017,CAH,Methwold Hythe
TE64522 ,S414,29/04/2015,2015,2016,CMH,Grafham Water
X461451,S418,01/05/2015,2015,2017,GDC,Methwold Hythe
Y619609,S420,07/05/2015,2015,2016,JB,Orlestone Forest
X461494,S421,08/05/2015,2015,2016,CMH,Alton Water
X461486,S422,24/04/2015,2015,2016,CMH,Methwold Hythe
TZ28065,Z401,04/05/2016,2016,2017,JB,Orlestone Forest
Z477385,Z412,03/05/2016,2016,2017,GDC,Methwold Hythe
