"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2020-01-21 19:23:21,FALSE,FALSE,0,FALSE,2020-01-21 19:23:21,0
2020-01-22 07:17:34,TRUE,FALSE,0,FALSE,2020-01-22 07:17:34,0
2020-01-22 19:22:34,FALSE,FALSE,0,FALSE,2020-01-22 19:22:34,0
2020-01-23 07:13:39,TRUE,FALSE,0,FALSE,2020-01-23 07:13:39,0
2020-01-23 19:18:11,FALSE,FALSE,0,FALSE,2020-01-23 19:18:11,0
2020-01-24 07:12:10,TRUE,FALSE,0,FALSE,2020-01-24 07:12:10,0
2020-01-24 19:29:37,FALSE,FALSE,0,FALSE,2020-01-24 19:29:37,0
2020-01-25 07:10:33,TRUE,FALSE,0,FALSE,2020-01-25 07:10:33,0
2020-01-25 19:28:11,FALSE,FALSE,0,FALSE,2020-01-25 19:28:11,0
2020-01-26 07:10:54,TRUE,FALSE,0,FALSE,2020-01-26 07:10:54,0
2020-01-26 19:28:11,FALSE,FALSE,0,FALSE,2020-01-26 19:28:11,0
2020-01-27 07:08:39,TRUE,FALSE,0,FALSE,2020-01-27 07:08:39,0
2020-01-27 19:28:11,FALSE,FALSE,0,FALSE,2020-01-27 19:28:11,0
2020-01-28 07:10:33,TRUE,FALSE,0,FALSE,2020-01-28 07:10:33,0
2020-01-28 19:25:01,FALSE,FALSE,0,FALSE,2020-01-28 19:25:01,0
2020-01-29 07:07:57,TRUE,FALSE,0,FALSE,2020-01-29 07:07:57,0
2020-01-29 19:28:38,FALSE,FALSE,0,FALSE,2020-01-29 19:28:38,0
2020-01-30 07:07:57,TRUE,FALSE,0,FALSE,2020-01-30 07:07:57,0
2020-01-30 19:25:07,FALSE,FALSE,0,FALSE,2020-01-30 19:25:07,0
2020-01-31 07:05:38,TRUE,FALSE,0,FALSE,2020-01-31 07:05:38,0
2020-01-31 19:32:57,FALSE,FALSE,0,FALSE,2020-01-31 19:32:57,0
2020-02-01 07:07:20,TRUE,FALSE,0,FALSE,2020-02-01 07:07:20,0
2020-02-01 19:31:52,FALSE,FALSE,0,FALSE,2020-02-01 19:31:52,0
2020-02-02 07:10:54,TRUE,FALSE,0,FALSE,2020-02-02 07:10:54,0
2020-02-02 19:25:05,FALSE,FALSE,0,FALSE,2020-02-02 19:25:05,0
2020-02-03 07:08:39,TRUE,FALSE,0,FALSE,2020-02-03 07:08:39,0
2020-02-03 19:32:34,FALSE,FALSE,0,FALSE,2020-02-03 19:32:34,0
2020-02-04 07:05:54,TRUE,FALSE,0,FALSE,2020-02-04 07:05:54,0
2020-02-04 19:32:34,FALSE,FALSE,0,FALSE,2020-02-04 19:32:34,0
2020-02-05 07:05:30,TRUE,FALSE,0,FALSE,2020-02-05 07:05:30,0
2020-02-05 19:34:53,FALSE,FALSE,0,FALSE,2020-02-05 19:34:53,0
2020-02-06 07:05:54,TRUE,FALSE,0,FALSE,2020-02-06 07:05:54,0
2020-02-06 19:31:52,FALSE,FALSE,0,FALSE,2020-02-06 19:31:52,0
2020-02-07 07:12:57,TRUE,FALSE,0,FALSE,2020-02-07 07:12:57,0
2020-02-07 19:33:21,FALSE,FALSE,0,FALSE,2020-02-07 19:33:21,0
2020-02-08 07:10:38,TRUE,FALSE,0,FALSE,2020-02-08 07:10:38,0
2020-02-08 19:34:37,FALSE,FALSE,0,FALSE,2020-02-08 19:34:37,0
2020-02-09 07:10:38,TRUE,FALSE,0,FALSE,2020-02-09 07:10:38,0
2020-02-09 19:34:37,FALSE,FALSE,0,FALSE,2020-02-09 19:34:37,0
2020-02-10 07:10:54,TRUE,FALSE,0,FALSE,2020-02-10 07:10:54,0
2020-02-10 19:35:04,FALSE,FALSE,0,FALSE,2020-02-10 19:35:04,0
2020-02-11 07:10:38,TRUE,FALSE,0,FALSE,2020-02-11 07:10:38,0
2020-02-11 19:36:52,FALSE,FALSE,0,FALSE,2020-02-11 19:36:52,0
2020-02-12 07:05:54,TRUE,FALSE,0,FALSE,2020-02-12 07:05:54,0
2020-02-12 19:36:52,FALSE,FALSE,0,FALSE,2020-02-12 19:36:52,0
2020-02-13 07:10:28,TRUE,FALSE,0,FALSE,2020-02-13 07:10:28,0
2020-02-13 19:33:48,FALSE,FALSE,0,FALSE,2020-02-13 19:33:48,0
2020-02-14 07:05:54,TRUE,FALSE,0,FALSE,2020-02-14 07:05:54,0
2020-02-14 19:34:37,FALSE,FALSE,0,FALSE,2020-02-14 19:34:37,0
2020-02-15 07:10:33,TRUE,FALSE,0,FALSE,2020-02-15 07:10:33,0
2020-02-15 19:36:52,FALSE,FALSE,0,FALSE,2020-02-15 19:36:52,0
2020-02-16 07:08:39,TRUE,FALSE,0,FALSE,2020-02-16 07:08:39,0
2020-02-16 19:35:07,FALSE,FALSE,0,FALSE,2020-02-16 19:35:07,0
2020-02-17 07:15:33,TRUE,FALSE,0,FALSE,2020-02-17 07:15:33,0
2020-02-17 19:34:53,FALSE,FALSE,0,FALSE,2020-02-17 19:34:53,0
2020-02-18 07:05:54,TRUE,FALSE,0,FALSE,2020-02-18 07:05:54,0
2020-02-18 19:39:37,FALSE,FALSE,0,FALSE,2020-02-18 19:39:37,0
2020-02-19 07:08:39,TRUE,FALSE,0,FALSE,2020-02-19 07:08:39,0
2020-02-19 19:35:03,FALSE,FALSE,0,FALSE,2020-02-19 19:35:03,0
