record_number,count,country,site,date,Month,time,location,latitude,longitude,ring size,ring no.,status,mig,english,french,scientific,age,sex,fat,muscle,wing,weight,bp,moult,ringer,bill skull,tarsus,tail,bill feather,bill nostril,bill+head,other bio,notes,PJ moult,wing point,2nd =,emarginate,OGC,Blood sample no.,Feather sample,Tape used,,RINGERS' KEY
1372,1,GH,Brenu,15/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,AA,N00112,N,.,Grey-backed Camaroptera,Camaroptère à tête grise,Camaroptera brachyura,2,.,.,.,53,10.9,.,Wing,NA,,,,,,,,,,,,,,,,,,
1373,1,GH,Brenu,15/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,AA,N00113,N,.,Red-faced Cisticola,Cisticole à face rousse,Cisticola erythrops,2,.,.,.,52,11.9,.,Wing,NA,,,,,,,,,,,,,,,,,,
3722,1,GH,Brenu,15/12/2009,Dec,0610,Brenu Beach,5.073055556,-1.423888889,B,R000058,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,2,.,.,.,80,27.5,.,,NA,,,,,,,,,,,,,,,,,,
3897,1,GH,Brenu,15/12/2009,Dec,0650,Brenu Beach,5.073055556,-1.423888889,CC,S001519,N,.,Snowy-crowned Robin Chat,Cossyphe à calotte neigeuse,Cossypha niveicapilla,2,.,.,.,106,36,.,,CMH,,,,,,,,,,,,,,,,,,
2273,1,GH,Brenu,15/12/2009,Dec,0700,Brenu Beach,5.073055556,-1.423888889,A,P000079,N,Mig,Garden Warbler,Fauvette des jardins,Sylvia borin,4,.,3,1,80,18,.,None,CMH,,,,,,,,,,,,,,,,,,
3898,1,GH,Brenu,15/12/2009,Dec,0700,Brenu Beach,5.073055556,-1.423888889,CC,S001520,N,.,Simple Leaflove,Bulbul modeste,Chlorocichla simplex,2,.,.,.,96,37,.,,CMH,,,,,,,,,,,,,,,,,,
2274,1,GH,Brenu,15/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,A,P000080,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,60,13.1,.,,CMH,,,,,,,,,,,,,,,,,,
3723,1,GH,Brenu,15/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,B,R000059,N,.,Northern Grey-headed Sparrow,Moineau gris,Passer griseus,4,.,.,.,.,28.1,.,,,,,,,,,,,,,,,,,,,,
3724,1,GH,Brenu,15/12/2009,Dec,0710,Brenu Beach,5.073055556,-1.423888889,B,R000060,N,.,Little Greenbul,Bulbul verdâtre,Andropadus virens,2,.,.,.,.,20.3,.,Wing,,,,,,,,,,,,,,,,,,,
2275,1,GH,Brenu,15/12/2009,Dec,0720,Brenu Beach,5.073055556,-1.423888889,A,P000081,N,.,Slender-billed Weaver,Tisserin de Pelzeln,Ploceus pelzelni,2,.,.,.,.,.,.,,CMH,,,,,,,,,,,,,,,,,,
