RTYPE,SCHEME,RING,RINFO,SPEC,RACE,AGE,SEX,SXMTD,DATE,PLACE,SITE,LAT,LONG,FIND,CIRCUMSTANCE,COND,ACT,ACT2,HAB1,HAB2,IRPL,GRID,SCHEM2,RING2,WING,WINGINIT,WT,WTDATE,INIT,POINT,PRIML,MOULT,PPSC,PPMLT,OGC,ALULA,BLMTD,BILL,THL,BDMTD,BILLD,TSMTD,TARSUS,TAIL,CLAW,PLUM,PATCH,FAT,PEC,MTHOD,PULALIV,PULRING,PULCODE,OWN,OWN2,USERC1,USERC2,USERC3,USERC4,USERC5,USERV1,USERV2,USERV3,USERV4,USERV5,TEXT,CAPTURETYPE,FATMTD,SAMPLE,HTTIME,FINDER,BODYMOULT,TAILFORK,EXTRACTINIT,RINGINIT,CHECKINIT,PROJECT1,PROJECTREG1,PROJECT2,PROJECTREG2,PROJECT3,PROJECTREG3,LB,LA,RB,RA,LW,RW,NC,SSMLT,PCMLT,GCMLT,CCMLT,ALULAMLT,TAILMLT,LPPMLT,LSSMLT,LPCMLT,LGCMLT,LCCMLT,LALULAMLT,LTAILMLT,LMCMLT,UWCMLT,HEADMLT,UPPMLT,UNPMLT
N,GBT,P028947,,NIGAL,,6,,,11/02/2001 00:00,KARTON,,13.100,-16.757,,,,,,J1,,VM00,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P028952,,NIGAL,,4,,,12/02/2001 00:00,KARTON,,13.100,-16.757,,,,,,J1,,VM00,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P028995,,NIGAL,,4,,,20/02/2001 00:00,KARTON,,13.100,-16.757,,,,,,J1,,VM00,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P483930,,NIGAL,,3,M,,25/12/2003 09:30,TANJI,,13.367,-16.784,,,,,,A1,,VM00,,,,84,,20.8,25/12/2003 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P483939,,NIGAL,,4,,,31/01/2004 07:50,TANJI,,13.367,-16.784,,,,,,A1,,VM00,,,,86,,21.8,31/01/2004 07:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,P483939,,NIGAL,,4,,,06/02/2004 07:10,TANJI,,13.367,-16.784,8,20,,,,A1,,VM00,,,,86,,22.6,06/02/2004 07:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P483952,,NIGAL,,5,M,,03/03/2004 09:40,TANJI,,13.367,-16.784,,,,,,A1,,VM00,,,,86,,22.2,03/03/2004 09:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,P483952,,NIGAL,,5,,,11/03/2004 07:00,TANJI,,13.367,-16.784,8,20,,,,A1,,VM00,,,,86,,24.9,11/03/2004 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P483848,,NIGAL,,4,,,06/11/2006 06:50,KARTON,,13.100,-16.757,,,,,,H2,A1,VM00,,,,83,,21.2,06/11/2006 06:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,P483883,,NIGAL,,4,,,23/11/2006 07:10,KARTON,,13.100,-16.757,,,,,,H2,A1,VM00,,,,86,,23,23/11/2006 07:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,R118839,,NIGAL,,3,M,,28/12/2009 07:50,KARTON,,13.100,-16.757,,,,,,H2,A1,VM00,,,,85,,18.7,28/12/2009 07:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,HX58442,,NIGAL,,5,,,10/03/2011 10:10,KARTON,BARRA1,13.080,-16.769,,,,,,H4,,VM00,,,,86,AB,32.5,10/03/2011 10:10,AB,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,L142251,,NIGAL,,3J,,,14/06/2011 00:00,TM2243,,52.041,1.236,,,,,,J1,,GBSUF,TM2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,L305877,,NIGAL,,3,,,31/07/2011 00:00,TR0394,,51.609,0.931,,,,,,B1,E4,GBESS,TR0394,,,83,,22.7,31/07/2011 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,L142251,,NIGAL,,4,,,20/12/2011 08:40,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,87,KC,20.9,20/12/2011 08:40,KC,,,N,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,L156259,,NIGAL,,3,,,20/12/2011 08:40,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,85,REB,17.9,20/12/2011 08:40,REB,,,N,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,L930717,,NIGAL,,5,,,25/01/2012 10:40,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,82,LG,22.7,25/01/2012 10:40,LG,,,N,,,5,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,Y612036,,NIGAL,,6,,,28/01/2012 08:05,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,81,LG,21.4,28/01/2012 08:05,LG,,,N,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,L930759,,NIGAL,,3,,,18/12/2012 10:00,KARTON,BARRA2,13.081,-16.771,,,M,,,B7,,VM00,,,,86,LJG,20,18/12/2012 10:00,LJG,,,N,,,7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Feather=megarhynchos,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,L305877,,NIGAL,,2,,,19/12/2012 09:30,KARTON,BARRA2,13.081,-16.771,8,20,,,,B7,,VM00,,,,83,LJG,20.5,19/12/2012 09:30,LJG,,,N,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,L930769,,NIGAL,,2,,,19/12/2012 09:40,KARTON,BARRA2,13.081,-16.771,,,,,,B7,,VM00,,,,82,LJG,19,19/12/2012 09:40,LJG,,,N,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,Y612066,,NIGAL,,4,,,22/12/2012 07:30,KARTON,BARRA2,13.081,-16.771,,,,,,B7,,VM00,,,,84,LJG,20.1,22/12/2012 07:30,LJG,,,N,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,Y612081,,NIGAL,,5,,,17/02/2013 08:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,82,GD,21.8,17/02/2013 08:00,GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
